구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,0.6102040816326532,0.41025641025641024,0.4,0.4400170466652461,0.42046605876393106,77.728285077951,85.71428571428571,76.92307692307693,42.857142857142854,86.48459383753502,565731,3238,0.45618871946364814,85.46306611114227
강동구,0.33061224489795926,0.17948717948717952,0.2,0.6279565310036224,0.6514690982776088,78.84615384615384,100.0,75.0,33.34742180896027,82.89085545722715,446760,1010,0.397905010733274,85.55022576390748
강북구,0.31836734693877555,0.5897435897435898,0.44000000000000006,0.23076923076923073,0.625937183383992,82.35294117647058,92.85714285714286,100.0,43.09623430962343,88.63722159305398,329042,831,0.44096347016711757,94.07072761768072
관악구,1.0,0.4871794871794872,0.6,0.7728531855955678,0.8889564336372846,69.0625,100.0,88.88888888888889,30.56171470805617,80.10915706488781,522849,2109,0.749797821282468,85.21222448195587
광진구,0.6734693877551021,0.5897435897435898,0.2,0.9092265075644577,0.616210739614995,91.66666666666666,100.0,100.0,42.2009253139458,83.04761904761905,372414,878,0.5977300449356289,96.37581975731734
구로구,0.8408163265306124,0.641025641025641,0.52,0.6147453654378862,0.7710233029381965,58.362989323843415,73.33333333333333,75.0,38.07280513918629,80.87795144662454,443288,1884,0.6775221271864673,75.27790635466599
금천구,0.3102040816326531,0.17948717948717952,0.12,0.28744939271255054,0.3848024316109422,80.79470198675497,100.0,100.0,56.66879387364391,86.46543330087634,253646,1348,0.25638861708866506,97.9971394327299
노원구,0.4979591836734695,0.23076923076923078,0.68,0.5542297038141913,0.6559270516717324,61.42131979695431,100.0,100.0,36.52530779753762,85.53066470804261,562278,1566,0.5237770339857247,88.64617415331136
도봉구,0.1102040816326531,0.3333333333333333,0.12,0.07266141061154913,0.1550151975683891,100.0,100.0,100.0,44.96707431796801,87.62609280430397,347338,825,0.1582428046291849,100.0
동대문구,0.4,0.5384615384615384,0.28,0.4638823780098018,0.5850050658561297,84.39306358381504,100.0,100.0,41.090358404846036,87.40188383045526,367769,1870,0.453469796465494,95.44425044106504
동작구,0.8571428571428573,0.3333333333333333,0.28,0.4144470487960793,0.3264437689969605,48.771929824561404,55.55555555555556,100.0,35.442359249329755,83.0890052356021,410703,1302,0.44227340165384615,74.63336788530299
마포구,0.8938775510204083,0.5897435897435898,0.52,0.7085020242914979,0.7612968591691995,84.01360544217688,71.42857142857143,100.0,31.81996086105675,84.44518940663761,387776,980,0.6946840048449391,85.92538102511915
서대문구,0.3224489795918368,0.1282051282051282,0.04000000000000001,0.3918602173449819,0.38561296859169203,80.51948051948052,80.0,100.0,40.728476821192054,83.21984435797665,326479,1254,0.2536254587467278,88.87514434317907
서초구,0.49591836734693884,0.10256410256410256,0.2,0.18112081823993176,0.03850050658561299,63.358778625954194,66.66666666666666,75.0,41.40417457305503,87.45310546060858,447177,2297,0.2036207589473172,77.1816918763104
성동구,0.2081632653061225,0.3333333333333333,0.2,0.30449605795866186,0.2056737588652482,94.44444444444444,88.88888888888889,100.0,37.14996888612321,86.53846153846155,312933,1327,0.25033328309267316,94.08881015517144
성북구,0.0,0.0,0.08000000000000002,0.0,0.0,82.66666666666667,80.0,100.0,41.51260504201681,83.97464916251698,458261,1651,0.016000000000000004,89.72724267775804
송파구,0.5918367346938777,0.5384615384615384,0.76,1.0,0.88774062816616,80.9090909090909,76.92307692307693,90.9090909090909,34.85643717196666,84.55235204855842,668366,1081,0.7556077802643152,85.10306586921345
양천구,0.47346938775510206,0.358974358974359,0.28,0.4689963775836352,0.7106382978723405,77.4869109947644,84.21052631578947,100.0,48.469643753135976,83.06508047585724,476627,2482,0.45841568443708736,90.90114949235905
영등포구,0.8979591836734694,1.0,1.0,0.8828041764329853,1.0,62.03389830508475,90.9090909090909,85.71428571428571,32.99595141700405,82.89473684210526,401908,1277,0.9561526720212911,81.95875250321699
용산구,0.48571428571428577,0.5897435897435898,0.28,0.28318772640102274,0.3831813576494427,89.17525773195877,100.0,100.0,37.70070648683366,83.1219512195122,243992,2096,0.4043653919016682,94.77678951004307
은평구,0.0326530612244898,0.10256410256410256,0.0,0.02748774770935436,0.08996960486322192,84.93975903614458,66.66666666666666,100.0,37.14733542319749,86.92046739540143,491899,2108,0.050534903272233735,86.84238612008086
종로구,0.1244897959183674,0.15384615384615385,0.12,0.08502024291497978,0.017021276595744705,76.30331753554502,81.81818181818183,83.33333333333334,38.324175824175825,84.21282163105103,164640,1619,0.10007549385504914,84.14183528687248
중구,0.04081632653061229,0.10256410256410256,0.0,0.1625825697847858,0.0030395136778115783,65.29411764705883,66.66666666666666,66.66666666666666,33.712715855573,88.3093525179856,134174,1023,0.06180050251146244,74.12265003790951
중랑구,0.4571428571428572,0.4358974358974359,0.92,0.52951203920733,0.7061803444782169,79.14438502673798,81.81818181818183,92.3076923076923,38.82903981264637,84.54513523006673,414554,916,0.609746535345168,87.06666281875579
